orig_smiles,canonical,formal_charge,donor_atom_count,quaternary_onium_center,keep,exclusion_reason
Cc1cc(O)c(C(C)C)cc1Cl,Cc1cc(O)c(C(C)C)cc1Cl,0,2,False,True,
Cc1ccc(C(C)C)c(O)c1,Cc1ccc(C(C)C)c(O)c1,0,1,False,True,
Cc1ccc(C(C)C)cc1O,Cc1ccc(C(C)C)cc1O,0,1,False,True,
Cc1ccc(O)cc1C,Cc1ccc(O)cc1C,0,1,False,True,
Cc1ccc(S(=O)(=O)O)cc1,Cc1ccc(S(=O)(=O)O)cc1,0,4,False,True,
Cc1cccc(O)c1C,Cc1cccc(O)c1C,0,1,False,True,
Cc1ccccc1O,Cc1ccccc1O,0,1,False,True,
Clc1ccccc1C[NH+]1CCc2sccc2C1,Clc1ccccc1C[NH+]1CCc2sccc2C1,1,3,False,True,
Cn1cc[n+](CCC2=CC[C@H]3C[C@@H]2C3(C)C)c1,Cn1cc[n+](CCC2=CC[C@H]3C[C@@H]2C3(C)C)c1,1,2,False,True,
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,-1,7,False,True,
Fc1c(F)c(F)c(I)c(I)c1F,Fc1c(F)c(F)c(I)c(I)c1F,0,6,False,True,
Fc1c(F)c(I)c(F)c(F)c1I,Fc1c(F)c(I)c(F)c(F)c1I,0,6,False,True,
Fc1c(F)c(I)c(F)c(I)c1F,Fc1c(F)c(I)c(F)c(I)c1F,0,6,False,True,
Fc1c(I)c(F)c(I)c(F)c1I,Fc1c(I)c(F)c(I)c(F)c1I,0,6,False,True,
N#C[S-],N#C[S-],-1,2,False,True,
N#Cc1ccc(O)cc1,N#Cc1ccc(O)cc1,0,2,False,True,
NC(=O)C(F)(F)F,NC(=O)C(F)(F)F,0,5,False,True,
NC(=O)c1ccccc1,NC(=O)c1ccccc1,0,2,False,True,
NC(=O)c1cccnc1,NC(=O)c1cccnc1,0,3,False,True,
NC(N)=NC(N)=NCCc1ccccc1,NC(N)=NC(N)=NCCc1ccccc1,0,5,False,True,
NC(N)=NCCC[C@H](N)C(=O)O,NC(N)=NCCC[C@H](N)C(=O)O,0,6,False,True,
NC(N)=O,NC(N)=O,0,3,False,True,
NC(N)=S,NC(N)=S,0,3,False,True,
NC=O,NC=O,0,2,False,True,
NCCO,NCCO,0,2,False,True,
N[C@@H](CC(=O)O)C(=O)O,N[C@@H](CC(=O)O)C(=O)O,0,5,False,True,
N[C@@H](CCC(=O)O)C(=O)O,N[C@@H](CCC(=O)O)C(=O)O,0,5,False,True,
N[C@@H](CO)C(=O)O,N[C@@H](CO)C(=O)O,0,4,False,True,
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0,7,False,True,
O,O,0,1,False,True,
O=C(O)/C=C/c1ccc(O)c(O)c1,O=C(O)/C=C/c1ccc(O)c(O)c1,0,4,False,True,
O=C(O)C(=O)O,O=C(O)C(=O)O,0,4,False,True,
O=C(O)C(O)(c1ccccc1)c1ccccc1,O=C(O)C(O)(c1ccccc1)c1ccccc1,0,3,False,True,
O=C(O)C(O)C(O)C(=O)O,O=C(O)C(O)C(O)C(=O)O,0,6,False,True,
O=C(O)C1CCCCC1,O=C(O)C1CCCCC1,0,2,False,True,
O=C(O)CC(=O)O,O=C(O)CC(=O)O,0,4,False,True,
O=C(O)CC(CC(=O)O)C(=O)O,O=C(O)CC(CC(=O)O)C(=O)O,0,6,False,True,
O=C(O)CC(O)(CC(=O)O)C(=O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O,0,7,False,True,
O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O,0,5,False,True,
O=C(O)CC1CCCCC1,O=C(O)CC1CCCCC1,0,2,False,True,
O=C(O)CCC(=O)O,O=C(O)CCC(=O)O,0,4,False,True,
O=C(O)CCC1CCCCC1,O=C(O)CCC1CCCCC1,0,2,False,True,
O=C(O)CCCC(=O)O,O=C(O)CCCC(=O)O,0,4,False,True,
O=C(O)CCCCC(=O)O,O=C(O)CCCCC(=O)O,0,4,False,True,
O=C(O)CCCCCC(=O)O,O=C(O)CCCCCC(=O)O,0,4,False,True,
O=C(O)CCCCCCC(=O)O,O=C(O)CCCCCCC(=O)O,0,4,False,True,
O=C(O)CCCCc1ccccc1,O=C(O)CCCCc1ccccc1,0,2,False,True,
O=C(O)CCCc1ccccc1,O=C(O)CCCc1ccccc1,0,2,False,True,
O=C(O)CCc1ccccc1,O=C(O)CCc1ccccc1,0,2,False,True,
O=C(O)CO,O=C(O)CO,0,3,False,True,
O=C(O)Cc1ccccc1,O=C(O)Cc1ccccc1,0,2,False,True,
O=C(O)c1cc(O)c(O)c(O)c1,O=C(O)c1cc(O)c(O)c(O)c1,0,5,False,True,
O=C(O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1,0,3,False,True,
O=C(O)c1ccccc1,O=C(O)c1ccccc1,0,2,False,True,
O=C(O)c1ccccc1O,O=C(O)c1ccccc1O,0,3,False,True,
O=C(Oc1ccccc1)c1ccccc1O,O=C(Oc1ccccc1)c1ccccc1O,0,3,False,True,
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1,13,False,True,
O=S(=O)([O-])O,O=S(=O)([O-])O,-1,5,False,True,
OB(O)O,OB(O)O,0,3,False,True,
OC(C(F)(F)F)C(F)(F)F,OC(C(F)(F)F)C(F)(F)F,0,7,False,True,
OC1OC[C@@H](O)[C@H](O)[C@H]1O,OC1OC[C@@H](O)[C@H](O)[C@H]1O,0,5,False,True,
OC1OC[C@H](O)[C@H](O)[C@H]1O,OC1OC[C@H](O)[C@H](O)[C@H]1O,0,5,False,True,
OCC(O)CO,OCC(O)CO,0,3,False,True,
OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,0,6,False,True,
OCCCCO,OCCCCO,0,2,False,True,
OCCN(CCO)CCO,OCCN(CCO)CCO,0,4,False,True,
OCCNCCO,OCCNCCO,0,3,False,True,
OCCO,OCCO,0,2,False,True,
OCCOCCOCCO,OCCOCCOCCO,0,4,False,True,
OC[C@@H](O)C(O)[C@@H](O)CO,OC[C@@H](O)C(O)[C@@H](O)CO,0,5,False,True,
OC[C@@H](O)[C@@H](O)CO,OC[C@@H](O)[C@@H](O)CO,0,4,False,True,
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0,6,False,True,
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,6,False,True,
OC[C@H](O)[C@@H](O)[C@H](O)CO,OC[C@@H](O)[C@H](O)[C@@H](O)CO,0,5,False,True,
OC[C@H](O)[C@H](O)CO,OC[C@@H](O)[C@@H](O)CO,0,4,False,True,
OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,0,6,False,True,
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0,6,False,True,
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,0,11,False,True,
OCc1ccco1,OCc1ccco1,0,2,False,True,
Oc1ccc(-c2ccccc2)cc1,Oc1ccc(-c2ccccc2)cc1,0,1,False,True,
Oc1ccc(O)cc1,Oc1ccc(O)cc1,0,2,False,True,
Oc1ccccc1,Oc1ccccc1,0,1,False,True,
[Br-],[Br-],-1,1,False,True,
[Cl-],[Cl-],-1,1,False,True,
[NH4+],[NH4+],1,1,False,True,
c1c[nH]cn1,c1c[nH]cn1,0,2,False,True,
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,0,2,False,True,
