Descriptor,RMSE,MAE,R2,CV_RMSE,CV_RMSE_std,CV_MAE,CV_MAE_std,CV_R2,CV_R2_std,Train_R2_mean,Dimensionality,Descriptor_Generation_Time_s,Training_Time_s,Inference_Time_s,Memory_MB,Feature_File_Size_MB
Morgan Fingerprints,0.7432398773711969,0.5697461276044606,0.693331021354765,0.8645184356459126,0.0941119479622428,0.6441797014662486,0.08108361455940165,0.5317782762803486,0.08354688286860021,0.9435087198643307,2048.0,0.01247960003092885,0.057082680007442835,0.0007205079984851182,2.40625,1.240727424621582
RDKit Descriptors,0.9475309759051218,0.7328546935362668,0.5015763127130336,0.9277972879435863,0.10363653297766086,0.7239741395925707,0.08154685893795768,0.4652144946084241,0.06271241588592746,0.8287617617256924,7.0,0.06943169992882758,0.059728500014171,0.0005030320002697409,0.0082244873046875,0.013696670532226562
ChemBERTa Embeddings,1.0995624049709583,0.9075499484145507,0.3288005285972232,1.17102970149105,0.07088822212060349,0.9525522128442049,0.07133051936251143,0.14528145518874036,0.05448213643574365,0.9976753335527195,768.0,3.6941204000031576,0.2978047400014475,0.0004954300005920231,0.90234375,2.252821922302246
