pipeline,baseline_test_rmse,tuned_test_rmse,baseline_test_r2,tuned_test_r2
rdkit,0.8458315508859711,0.8568245328625035,0.6578702784018178,0.6489194033972425
morgan,0.9522212664890191,0.9660667615390038,0.5663904934893833,0.5536892761657342
chemberta,1.415443791788046,1.395175908257162,0.041905608647574755,0.06914726611739896
