Feature,Importance
Phase diagram (Yes/No)_Yes,0.28310576
Type of DES_IL,0.22341405
X#2 (molar fraction),0.19990875
T#1,0.13934705
X#1 (molar fraction),0.06396731
T#2,0.050248746
Type of DES_5,0.040008407
Number of components,0.0
