Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
1-Methoxy-2-Nitrobenzene,COC(C=CC=C1)=C1[N+]([O-])=O,91-23-6,6.025,1.147,0.9113863066779098,high-fidelity RED
Anisic Aldehyde,COC1=CC=C(C=C1)C=O,68894-36-0,7.163,1.077,0.7972609359550994,low-fidelity RED
Meta-Anisaldehyde,COC1=CC=CC(=C1)C=O,591-31-1,7.008,1.03,0.795691523141977,low-fidelity RED
Methoxymethyl Pyrazine,COCC1=NC=CN=C1,63450-30-6,5.906,1.108,0.7228416147400483,low-fidelity RED
4-Methyl Thiobutyraldehyde,CSCCCC=O,42919-64-2,6.179,0.9503,0.9855201672213513,low-fidelity RED
Fluoroacetone,FCC(C)=O,430-51-3,5.87,0.7506,0.8280247580839591,low-fidelity RED
Methyl-α-Cyanoacrylate,N#C/C(=C)C(=O)OC,137-05-3,6.004,1.085,0.6670832032063164,low-fidelity RED
Cis-Crotonitrile,N#C\C=C/C,1190-76-7,5.659,0.9523,0.7150174823037538,low-fidelity RED
5-Methylpyrimidine,n1cc(cnc1)C,2036-41-1,5.993,0.9476,0.7814249804043893,low-fidelity RED
2-Methylpyrimidine,n1cccnc1C,5053-43-0,5.925,1.041,0.7814249804043893,low-fidelity RED
"Hexanenitrile, 6-Amino-",NCCCCCC#N,2432-74-8,6.382,1.075,0.9453835200594523,low-fidelity RED
Dimethyl Sulfite,O(C)S(=O)OC,616-42-2,5.911,0.9088,0.7483314773547882,low-fidelity RED
Prometone,O(c1nc(nc(n1)NC(C)C)NC(C)C)C,1610-18-0,6.922,1.091,0.5279678020485723,low-fidelity RED
Atratone,O(c1nc(nc(n1)NC(C)C)NCC)C,1610-17-9,7.54,1.185,0.555652769272322,low-fidelity RED
Secbumeton,O(c1nc(nc(n1)NC(C)CC)NCC)C,26259-45-0,7.036,1.277,0.7267220926874318,low-fidelity RED
Simetone,O(c1nc(nc(n1)NCC)NCC)C,673-04-1,7.16,1.085,0.9045026257562773,low-fidelity RED
2-Methoxypyrimidine,O(c1ncccn1)C,931-63-5,6.239,1.034,0.5350233639758177,low-fidelity RED
2-Methoxypyrazine,O(c1nccnc1)C,3149-28-8,5.869,1.151,0.5350233639758177,low-fidelity RED
2-Ethoxypyrazine,O(c1nccnc1)CC,38028-67-0,6.088,1.227,0.5460082416960393,low-fidelity RED
Chocolate Pyrazine A,O(c1nccnc1C)C,68378-13-2,6.169,1.18,0.6604922406811451,low-fidelity RED
"Ethyl 3,5-Dinitrobenzoate",O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1)C(=O)OCC,618-71-3,6.646,1.172,0.8019507466172726,low-fidelity RED
"1,3-Butanediol Dinitrate",O=[N+]([O-])OC(CCO[N+](=O)[O-])C,6423-44-5,6.275,1.1,0.7717674520216563,low-fidelity RED
"2,3-Dimethoxylbenzaldehyde",O=C([H])C1=C(OC)C(OC)=CC=C1,86-51-1,6.91,1.144,0.7697402159170328,low-fidelity RED
"2,4-Dimethoxylbenzaldehyde",O=C([H])C1=C(OC)C=C(OC)C=C1,613-45-6,7.18,1.069,0.7697402159170328,low-fidelity RED
"N,N-Dimethylacrylamide",O=C(\C=C)N(C)C,3/7/80 0:00,5.757,0.8796,0.6619101147436859,low-fidelity RED
N(Isobutoxymethyl)Acrylamide,O=C(\C=C)NCOCC(C)C,16669-59-3,6.961,1.028,0.8007808689023483,low-fidelity RED
Barbital ,O=C(C(CC)(CC)C(N1)=O)NC1=O,57-44-3,6.37,1.164,0.8192984804086967,low-fidelity RED
