Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
t-Butyl Hydroperoxide,CC(C)(C)OO,75-91-2,6.039,0.8057,0.5678908345800271,low-fidelity RED
"3,3-Dimethyl-1,5-Pentanediol",CC(C)(CCO)CCO,53120-74-4,6.923,0.7249,0.36400549446402536,low-fidelity RED
3-Methoxy-3-Methyl Butanol,CC(C)(CCO)OC,56539-66-3,7.064,0.839,0.7079901129253147,high-fidelity RED
3-Mercapto-3-Methyl Butanol,CC(C)(CCO)S,34300-94-2,6.865,0.8556,0.8986100377805712,low-fidelity RED
"2,3-Dimethyl-2,3-Butanediol",CC(C)(O)C(C)(O)C,76-09-5,6.135,0.7789,0.6860211367006118,low-fidelity RED
Dimethyl Pyruvic Acid,CC(C)C(=O)C(=O)O,759-05-7,6.237,0.883,0.8499999999999999,low-fidelity RED
"Dextro,Laevo-Valine",CC(C)C(C(=O)O)N,516-06-3,5.924,0.9707,0.6689544080129824,low-fidelity RED
"2-Isopropyl-1,4-Butanediol",CC(C)C(CCO)CO,39497-66-0,7.176,0.9766,0.3976493430146716,low-fidelity RED
"2-Isopropyl-1,3-Propanediol",CC(C)C(CO)CO,2612-27-3,6.881,0.7716,0.39449334595148744,low-fidelity RED
3-Methyl-2-Butanol,CC(C)C(O)C,598-75-4,6.318,0.7467,0.8732124598286488,high-fidelity RED
4-Methyl-2-Oxovaleric Acid,CC(C)CC(=O)C(=O)O,816-66-0,5.826,0.9283,0.9017344398435714,low-fidelity RED
Leucic Acid,CC(C)CC(C(=O)O)O,498-36-2,6.246,0.967,0.7566372975210778,low-fidelity RED
Iso-Pentyl Alcohol,CC(C)CCO,123-51-3,7.229,0.7383,0.8678277478854888,high-fidelity RED
Iso-Butanol,CC(C)CO,78-83-1,6.947,0.717,0.8023403267940605,high-fidelity RED
Methyl 3-Hydroxybutyrate,CC(CC(=O)OC)O,1487-49-6,7.24,0.9101,0.6149186938124416,low-fidelity RED
"Meso-2,4-Pentanediol",CC(CC(C)O)O,3950-21-8,6.814,0.6972,0.7640353394968059,low-fidelity RED
"2,4-Heptanediol",CC(CC(CCC)O)O,20748-86-1,6.62,0.9048,0.48605555238058906,low-fidelity RED
2-Methylbutyric Acid,CC(CC)C(O)=O,116-53-0,6.418,0.8153,0.9017344398435715,low-fidelity RED
sec-Butyl Glycolate,CC(CC)OC(=O)CO,E13626,6.963,0.9445,0.864580823289529,low-fidelity RED
4-Penten-2-ol,CC(CC=C)O,625-31-0,6.892,0.8741,0.9624188277460077,low-fidelity RED
4-Methyl Cyclohexanol (Mix),CC(CC1)CCC1O,589-91-3,6.102,1.014,0.9880536422684749,high-fidelity RED
Gamma.-Aminovaleric Acid   ,CC(CCC(=O)O)N,13880-74-5,6.806,0.9954,0.44158804331639195,low-fidelity RED
Levulinic Acid,CC(CCC(O)=O)=O,123-76-2,6.221,0.8368,0.9027735042633898,low-fidelity RED
"2,6-Heptanediol",CC(CCCC(O)C)O,5969-12-0,7.193,0.8672,0.410030486671418,low-fidelity RED
Isooctyl Alcohol,CC(CCCCCO)C,26952-21-6,7.65,0.8631,0.9829801625668747,high-fidelity RED
"2-Methyl-1,5-Pentanediol",CC(CCCO)CO,42856-62-2,8.115,0.8574,0.7211102550927978,low-fidelity RED
Propylene Chlorohydrin,CC(CCl)O,127-00-4,6.133,0.7659,0.5706356105256669,high-fidelity RED
"3,4-Dimethyl-1,4-Pentanediol",CC(CCO)C(C)(C)O,63521-36-8,7.465,0.9277,0.6005206074732159,low-fidelity RED
"Propanoic Acid, 2-Chloro-",CC(Cl)C(O)=O,598-78-7,5.639,0.8863,0.4038873605350874,low-fidelity RED
"2-Propanol, 1,1 ,1  -Nitrilotris-",CC(CN(CC(O)C)CC(C)O)O,122-20-3,6.242,0.8614,0.41079191812887444,low-fidelity RED
"2,2-Dimethyl-1,3-Propanediol",CC(CO)(C)CO,126-30-7,5.72,0.7998,0.8143248737451169,low-fidelity RED
"2,3-Dimethyl-1,3-Butanediol",CC(CO)C(C)(C)O,24893-35-4,7.085,0.7868,0.4272001872658769,low-fidelity RED
"2,3-Dimethyl-1,3-Pentanediol",CC(CO)C(C)(O)CC,66225-52-3,7.213,0.8749,0.7632168761236875,low-fidelity RED
3-Mercapto-2-Methyl-1-Butanol,CC(CO)C(C)S,227456-33-9,6.936,0.6926,0.8529361054615994,low-fidelity RED
2-Methyl-3-Buten-1-ol,CC(CO)C=C,4516-90-9,6.811,0.9171,0.9775607398008574,low-fidelity RED
2-Methyl-1-Butanol,CC(CO)CC,137-32-6,6.756,0.8305,0.794512429103535,high-fidelity RED
2-Methyl-1-Pentanol,CC(CO)CCC,105-30-6,6.467,0.7816,0.9117291264405232,high-fidelity RED
