Model,Test MAE (K),Test RMSE (K),Test R²
XGBoost,9.894527516713309,15.142858355960392,0.9634348821197151
Random Forest,10.837639422885557,16.42899759115376,0.9569598883114674
Gradient Boosting,15.633854807806275,22.68447021067979,0.9179443406480154
Linear Regression,37.99935396814074,47.39348287608884,0.6418305757297498
